Algorithm,Accuracy,Precision,Recall,F1 Score
Logistic Regression,1.0,1.0,1.0,1.0
Decision Tree,0.5132,0.515395250232487,0.5132,0.514192321139246
KNN,0.6734,0.7040544483347237,0.6734,0.6757029023590599
Random Forest,0.7747,0.7778709162995674,0.7747,0.7757653492600901
